1	H0001	אָב	H:N-M	father	1) father of an individual<br>2) of God as father of his people<br>3) head or founder of a household, group, family, or clan<br>4) ancestor<br>4a) grandfather, forefathers - of person<br>4b) of people<br>5) originator or patron of a class, profession, or art<br>6) of producer, generator (fig.)<br>7) of benevolence and protection (fig.)<br>8) term of respect and honour<br>9) ruler or chief (spec.)
2	H0002	אַב	A:N-M	father	1) father
3	H0003	אֵב	H:N-M	greenery	1) freshness, fresh green, green shoots, or greenery
4	H0004	אֵב	A:N-M	fruit	1) fruit, fresh, young, greening
5	H0005	אֲבַגְתָא	N:N-M-P	Abagtha	Abagtha = "God-given"<br>1) one of the seven eunuchs in the Persian court of Ahasuerus
6	H0006	אָבַד	H:V	to perish	1) perish, vanish, go astray, be destroyed<br>1a) (Qal)<br>1a1) perish, die, be exterminated<br>1a2) perish, vanish (fig.)<br>1a3) be lost, strayed<br>1b) (Piel)<br>1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate<br>1b2) to blot out, do away with, cause to vanish, (fig.)<br>1b3) cause to stray, lose<br>1c) (Hiphil)<br>1c1) to destroy, put to death<br>1c1a) of divine judgment<br>1c2) object name of kings (fig.)
7	H0007	אֲבַד	A:V	to destroy	1) to perish, vanish<br>1a) (P'al) shall perish<br>1b) (Aphel) destroy<br>1c) (Hophal) be destroyed
8	H0008	אֹבֵד	H:N-M	destruction	1) destruction
9	H0009	אֲבֵדָה	H:N-F	something lost	1) a lost thing, something lost
10	H0010	אֲבַדּוֹן	H:N-F	destruction	1)  a perishing
11	H0011	אֲבַדּוֹן	N:N--L	Abaddon	1) place of destruction, destruction, ruin, Abaddon
12	H0012	אַבְדָ֑ן	H:N-M	destruction	1) destruction
13	H0013	אׇבְדַן	H:N-M	destruction	1) destruction
14	H0014	אָבָה	H:V	be willing	1) to be willing, consent<br>1a) (Qal)<br>1a1) to be willing<br>1a2) to consent, yield to, accept<br>1a3) to desire
15	H0015	בָּיַי	H:N-F	oh that!	1) entreat, longing, desire
16	H0016	אֵ֫בֶה	H:N-M	papyrus	1) reed, papyrus
17	H0017	אֲבוֹי	H:INJ	woe!	1) Oh!, Woe!, (exclamation of pain - indicates desire or uneasiness)
18	H0018	אֵבוּס	H:N-M	crib	1) crib, manger, feeding trough
19	H0019	אִבְחָה	H:N-F	slaughter	1) slaughter, flesh, meat, slaughtered meat
20	H0020	אֲבַטִּחִים	H:N-M	melon	1) watermelon, Egyptian fruit
21	H0021	אֲבִי	N:N-F-P	Abi	Abi = "my father"<br>1) mother of Hezekiah (cf H029)
22	H0022	אֲבִיאֵל	N:N-M-P	Abiel	Abiel = "El (God) is (my) father"<br>1) Saul's grandfather
23	H0023	אֲבִיאָסָף	N:N-M-P	Abiasaph	Abiasaph = "my father has gathered"<br>1) son (descendant) of Korah
24	H0024	אָבִיב	N:N-M-T + H:N-M	Abib	1) fresh, young barley ears, barley<br>2) month of ear-forming, of greening of crop, of growing green Abib, month of exodus and passover (March or April)
25	H0025	אֲבִי גִבְעוֹן	N:N-M-P + N:N--L	Abi-gibeon	Abi Gibon = "father of Gibeon"<br>1) site of great Bamah, location of the tabernacle of the Lord in the high place
26	H0026	אֲבִיגַ֫יִל, אֲבִיגַ֫ל	N:N-F-P	Abigail	Abigail = "my father is joy"<br>1) wife of Nabal, then of David<br>2) sister of David
27	H0027	אֲבִידָן	N:N-M-P	Abidan	Abidan = "my father is judge"<br>1) a prince (ruler) of Benjamin
28	H0028	אֲבִידָע	N:N-M-P	Abida	Abida or Abidah = "my father knows"<br>1) fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died)
29	H0029	אֲבִיָּ֫הוּ	N:N-M-P	Abijah	Abia or Abiah or Abijah = "Jehovah is (my) father"<br>1) king of Judah, son and successor of Rehoboam<br>2) second son of Samuel<br>3) son of Jeroboam the first, king of Israel<br>4) son of Becher, a Benjamite<br>5) head of a priestly house (one of the 24 Levite groups)<br>6) head of a priestly house (after the exile)<br>7) wife of Hezron<br>8) mother of Hezekiah (cf H021)
30	H0030	אֲבִיהוּא	N:N-M-P	Abihu	Abihu = "he is (my) father"<br>1) a son of Aaron destroyed for sacrificing strange fire to God
31	H0031	אֲבִיהוּד	N:N-M-P	Abihud	Abihud = "my father is majesty"<br>1) son of Bela, a Benjamite
32	H0032	אֲבִיחַ֫יִל	N:N-M-P	Abihail	Abihail = "my father is might"<br>1) a Levite in Moses's time<br>2) a Gadite<br>3) father of Esther<br>4) wife of Abishur<br>5) wife of Rehoboam
33	H0033	אֲבִי הָעֶזְרִי	N:N--PG	Abi-ezrite	Abiezrite = "my father is help"<br>1) one of the family of Abiezer, a descendant of Joseph's son, Manasseh
34	H0034	אֶבְיוֹן	H:A-M	needy	1) in want, needy, chiefly poor, needy person<br>2) subject to oppression and abuse<br>3) needing help, deliverance from trouble, especially as delivered by God<br>4) general reference to lowest class
35	H0035	אֲבִיּוֹנָה	H:N-F	desire	1) caper-berry-of stimulating desire
36	H0036	אֲבִיטוּב	N:N-M-P	Abitub	Abitub = "my father is good(ness)"<br>1) son of Shaharaim, a Benjamite
37	H0037	אֲבִיטָ֑ל	N:N-F-P	Abital	Abital = "my father is (the) dew"<br>1) a wife of David
38	H0038	אֲבִיָּם	N:N-M-P	Abijam	Abijam = "my father is the sea" or "Yah(u) is (my) father"<br>1) king of Judah, son and successor of Rehoboam
39	H0039	אֲבִימָאֵל	N:N-M-P	Abimael	Abimael = "my father is El (God)"<br>1) son of Joktan, descendant of Shem
40	H0040	אֲבִימֶ֫לֶךְ	N:N-M-P	Abimelech	Abimelech = "Melek is father" or "my father is king"<br>1) king of Gerar in Abraham's time<br>2) king of Gath in David's time; maybe title of Philistine kings<br>3) son of Gideon by a concubine<br>4) priest, son of Abiathar
41	H0041	אֲבִינָדָב	N:N-M-P	Abinadab	Abinadab = "my father is noble" or "my father is willing"<br>1) a man of Gibeah who sheltered the ark<br>2) second son of Jesse, David's older brother<br>3) a son of Saul, slain with him by the Philistines
42	H0042	אֲבִינֹ֫עַם	N:N-M-P	Abinoam	Abinoam = "my father is delight"<br>1) father of Barak, descendant of Naphtali
43	H0043	אֶבְיָסָף, אֲבִיאָסָף	N:N-M-P	Ebiasaph	Ebiasaph = "my father has gathered"<br>1) a son or descendant of Korah
44	H0044	אֲבִיעֶ֫זֶר	N:N-M-P	Abiezer	Abiezer = "my father is help"<br>1) a Manassite, called "son" of Gilead, also son of Gilead's sister<br>2) a Benjamite, warrior of David
45	H0045	אֲבִי־עַלְבוֹן	N:N-M-P	Abi-albon	Abialbon = "El (God) is my father"<br>1) one of David's mighty men (hero)
